code,Rgst_years,Corp_Rgst_Cap,Shareholders_Num,Per_Capita_Shareholding,Employees_Num,Bachelor_Person_Pro,Technicians_Person_Pro,Cash_Flow_Ratio,Net_Cash_Flow_to_Liability_Ratio,Net_Cash_Flow_to_Net_Profit_Ratio,Operating_Cash_Return_Flow,Net_Cash_Flow_to_Sales_Revenue_Ratio,Current_Assets_Turnover_Days,Current_Assets_Turnover_Rate,Total_Asset_Turnover_Days,Inventory_Turnover_Days,Total_Asset_Turnover_Rate,Inventory_Turnover_Rate,Accounts_Receivable_Turnover_Days,Accounts_Receivable_Turnover_Rate,Total_Asset_Growth_Rate,Net_Asset_Growth_Rate,Net_Profit_Growth_Rate,Main_Business_Revenue_Growth_Rate,Equity_ratio,Capital_fixed_ratio,Capitalization_ratio,Long_term_assets_to_long_term_funding_ratio,Liabilities_to_owner_equity_ratio,Long_term_debt_ratio,Shareholders_equity_ratio,Long_term_debt_to_working_capital_ratio,Gearing_ratio,Interest_payment_multiple,Cash_ratio,Quick_ratio,Liquidity_ratio,Total_asset_margin,Profit_margin_of_main_business,Total_net_asset_margin,Cost_and_expense_margins,Operating_margin,Cost_ratio_of_main_business,Net_profit_margin_on_sales,Return_on_equity,Return_on_equity,Return_on_net_assets,Return_on_assets,Three_cost_ratios,Non_main_proportion,Proportion_of_main_profit,Main_business_income,Main_business_profit,Operating_profit,Investment_income,Net_non_operating_income_and_expenditure,Total_profit,Net_profit,Net_cash_flow_from_operating_activities,Net_increase_in_cash_and_cash_equivalents,Total_assets,liquid_asset,Total_liabilities,Current_liabilities,Shareholders_equity_does_not_include_minority_interests,Return_on_equity_weighting,Operating_income,Operating_costs,Operating_profit,Total_profit,Income_tax_expense,Net_profit,Basic_earnings_per_share,Monetary_funds,Accounts_receivable,Stocks,Total_current_assets,Total_assets,Total_current_liabilities,Total_non_current_liabilities,Total_liabilities,Total_owners_equity,Opening_cash_and_cash_equivalents_balances,Net_cash_flow_from_operating_activities,Net_cash_flows_from_investing_activities,Net_cash_flows_from_fund_raising_activities,Net_increase_in_cash_and_cash_equivalents,Closing_cash_and_cash_equivalents_balances,Total_current_assets,Total_non_current_assets,Total_assets,Total_current_liabilities,Total_non_current_liabilities,Total_liabilities,Total_owners_equity,Total_liabilities_and_owners_equity,y
1238,26.0,11000.0,62520.625250501005,3.5829859719438897,2047.0,5.72,8.5,27.26,0.26,2.72,0.09,0.13,238.73,1.13,342.21,108.0,0.79,2.5,32.8,8.23,13.721643286573164,14.095711422845708,-38.93,18.05,47.56,39.92,9.3883466933868,56.19058116232465,50.27,5.2352104208416845,66.55,-0.0385270541082162,33.45,-49.08,118.46,1.68,2.32,3.17,19.76,3.7,6.05,5.25,79.84,4.68,47.23,47.23,4.76,3.17,6.06,-32.65,47.56,110890.0,21913.0,5818.0,-1855.0,-33.0,5785.0,5195.0,14139.0,41816.0,163844.0,120322.0,54807.0,51859.0,109130.0,6.18,110890.0,88532.0,5818.0,5785.0,590.0,5195.0,0.63,61435.0,14734.0,32967.0,120322.0,163844.0,51859.0,2948.0,54807.0,109036.0,13699.0,14139.0,-8019.0,39679.0,41816.0,55515.0,120322.0,43522.0,163844.0,51859.0,2948.0,54807.0,109036.0,163844.0,0
2748,19.0,24000.0,13081.0,1.83,1543.0,4.67,3.24,18.32,0.12,0.58,0.04,0.04,72.65,3.72,262.19,25.09,1.03,10.76,14.59,18.51,4.49,20.92,37.11,42.35,46.24,103.12,13.37,89.33,46.63,10.52,68.2,1.21,31.8,2313.89,43.55,1.1,1.41,6.68,16.23,6.79,9.94,9.05,83.26,6.59,54.3,54.3,9.79,6.68,5.0,-2.71,46.24,197733.0,32096.0,17889.0,-32.0,-440.0,17449.0,13033.0,7509.0,2071.0,195127.0,57909.0,62056.0,40999.0,129191.0,10.41,197733.0,164634.0,17889.0,17449.0,4417.0,13033.0,0.53,17856.0,14547.0,12912.0,57909.0,195127.0,40999.0,21058.0,62056.0,133070.0,15784.0,7509.0,-7777.0,2022.0,2071.0,17856.0,57909.0,137218.0,195127.0,40999.0,21058.0,62056.0,133070.0,195127.0,0
2534,67.0,73920.2151,41434.0,1.78,2604.0,44.66,29.26,-5.67,-0.05,-3.63,-0.03,-0.09,487.63,0.55,698.4,104.38,0.39,2.59,58.69,4.6,32.72,4.94,-64.83,34.58,232.18,118.65,7.72,109.5,278.32,2.21,26.43,0.23,73.57,-440.18,34.33,0.94,1.16,0.92,14.52,0.97,2.46,2.27,85.1,2.5,19.12,19.12,3.5,0.92,6.34,5.09,232.18,565165.0,82040.0,12855.0,758.0,-109.0,12746.0,14137.0,-51316.0,-69916.0,1529572.0,1049845.0,1125261.0,904914.0,358370.0,2.84,565165.0,480949.0,12855.0,12746.0,-1391.0,14137.0,0.14,310619.0,138400.0,201179.0,1049845.0,1529572.0,904914.0,220347.0,1125261.0,404310.0,367008.0,-51316.0,-52326.0,32109.0,-69916.0,297092.0,1049845.0,479726.0,1529572.0,904914.0,220347.0,1125261.0,404310.0,1529572.0,0
688639,17.0,10840.0,3584.0,3.02,810.0,27.65,13.83,82.95,0.58,1.14,0.14,0.25,233.42,1.16,448.58,49.61,0.6,5.44,48.02,5.62,31.36,24.61,112.56,58.38,21.77,69.06,9.3883466933868,56.19058116232465,30.99,5.2352104208416845,76.34,-0.0385270541082162,23.66,-2592.37,117.76,2.47,2.84,12.09,38.83,13.28,35.42,24.94,60.64,22.06,200.17,200.17,15.84,12.09,9.52,3.44,21.77,98378.0,38203.0,24533.0,748.0,100.0,24632.0,21699.0,24747.0,23149.0,179486.0,84857.0,42464.0,29834.0,136843.0,16.74,98378.0,59656.0,24533.0,24632.0,2933.0,21699.0,2.0,35134.0,17412.0,11302.0,84857.0,179486.0,29834.0,12630.0,42464.0,137022.0,11985.0,24747.0,68.0,-2249.0,23149.0,35134.0,84857.0,94630.0,179486.0,29834.0,12630.0,42464.0,137022.0,179486.0,0
767,15.721442885771545,307694.2219,118717.0,2.59,7783.0,38.52,24.58,3.74,0.02,35.43,0.02,0.06,355.45,0.76,1145.52,37.11,0.24,7.28,128.22,2.11,4.96,27.28,-1.9538977955912005,53.39,380.65,368.11,61.7,140.99,448.54,29.37,18.23,-4.12,81.77,109.52,36.23,0.76,0.82,0.04,10.24,0.04,1.0,0.34,88.79,0.18,0.88,0.88,0.23,0.04,11.31,196.7,380.65,1475428.0,151111.0,5040.0,19436.0,9847.0,14887.0,2695.0,95479.0,343267.0,6371159.0,2095681.0,5209685.0,2550104.0,1152573.0,-0.3,1475428.0,1310004.0,5040.0,14887.0,12192.0,2695.0,-0.01,924024.0,780308.0,166845.0,2095681.0,6371159.0,2550104.0,2659581.0,5209685.0,1161474.0,256263.0,95479.0,-153685.0,401473.0,343267.0,599530.0,2095681.0,4275477.0,6371159.0,2550104.0,2659581.0,5209685.0,1161474.0,6371159.0,1
3023,28.0,10534.16,33062.0,0.32,3357.0,8.79,4.89,22.52,0.22,2.34,0.07,0.21,628.93,0.43,796.7,417.7,0.34,0.65,35.58,7.59,4.77,3.65,-34.9,-11.77,44.43,30.35,9.3883466933868,56.19058116232465,44.62,5.2352104208416845,69.15,-0.0385270541082162,30.85,-600.77,139.92,1.6,2.57,2.96,43.33,3.04,12.0,10.61,55.54,8.97,57.05,57.05,4.28,2.96,30.99,1.16,44.43,66986.0,29026.0,7105.0,142.0,-60.0,7045.0,6010.0,14066.0,20751.0,203312.0,160640.0,62727.0,62462.0,137520.0,4.41,66986.0,37202.0,7105.0,7045.0,1035.0,6010.0,0.57,87394.0,6925.0,60445.0,160640.0,203312.0,62462.0,265.0,62727.0,140585.0,46735.0,14066.0,11744.0,-5059.0,20751.0,67486.0,160640.0,42673.0,203312.0,62462.0,265.0,62727.0,140585.0,203312.0,0
600995,25.0,319600.5805,45177.0,1.06,2309.0,29.88,27.72,79.34,0.18,2.36,0.11,0.62,106.99,2.52,850.93,8.26,0.32,32.67,13.67,19.75,1117.0,555.07,990.96,316.15,120.51,218.88,46.59,116.91,148.89,35.05,40.18,-26.64,59.82,530.58,67.94,0.86,0.9,4.5,46.64,8.28,49.43,33.2,51.75,26.09,65.0,65.0,11.19,4.5,13.52,-0.01,120.51,639163.0,298092.0,212203.0,873.0,-897.0,211306.0,166750.0,393518.0,55639.0,3708506.0,447196.0,2218482.0,495976.0,1160782.0,9.24,639163.0,330767.0,212203.0,211306.0,44557.0,166750.0,0.51,336961.0,36613.0,18534.0,447196.0,3708506.0,495976.0,1722506.0,2218482.0,1490025.0,279843.0,393518.0,-256983.0,-81140.0,55639.0,335483.0,447196.0,3261310.0,3708506.0,495976.0,1722506.0,2218482.0,1490025.0,3708506.0,0
300034,20.0,48595.7096,16330.0,2.98,1565.0,34.89,16.1,-2.71,-0.02,-0.24,-0.01,-0.03,522.65,0.52,789.7,196.08,0.34,1.38,121.48,2.22,27.8,8.93,-13.63,33.2,77.07,58.46,11.72,51.61,85.25,7.17,53.98,0.21,46.02,1613.72,29.1,1.44,1.99,3.92,26.72,4.26,17.94,14.69,72.52,12.45,48.63,48.63,7.26,3.92,8.75,-4.11,77.07,189815.0,50710.0,27881.0,-1195.0,48.0,27929.0,23630.0,-5630.0,4774.0,602783.0,412561.0,277396.0,207566.0,302094.0,7.36,189815.0,137647.0,27881.0,27929.0,4299.0,23630.0,0.45,60408.0,123071.0,114124.0,412561.0,602783.0,207566.0,69830.0,277396.0,325387.0,54213.0,-5630.0,-16876.0,27263.0,4774.0,58987.0,412561.0,190222.0,602783.0,207566.0,69830.0,277396.0,325387.0,602783.0,0
600853,15.721442885771545,101490.2546,55907.0,1.82,5926.0,59.8,48.84,-16.7,-0.1,-14.58,-0.09,-0.24,390.4,0.69,676.52,43.72,0.4,6.18,97.68,2.76,24.73,-0.05,0.34,2.67,600.73,319.59,68.03,102.19,627.4,29.25,13.75,10.73,86.25,168.93,25.59,0.96,1.05,0.61,10.68,0.65,2.05,1.94,89.01,1.63,18.25,18.25,4.45,0.61,5.56,0.72,600.73,1136071.0,121348.0,22059.0,168.0,-9.0,22050.0,18522.0,-270025.0,-159410.0,3030772.0,1699178.0,2614113.0,1616555.0,248997.0,6.77,1136071.0,1011215.0,22059.0,22050.0,3528.0,18522.0,0.16,390362.0,417671.0,149160.0,1699178.0,3030772.0,1616555.0,997557.0,2614113.0,416660.0,489137.0,-270025.0,-80653.0,191268.0,-159410.0,329727.0,1699178.0,1331595.0,3030772.0,1616555.0,997557.0,2614113.0,416660.0,3030772.0,0
600343,23.0,63820.6348,80789.0,0.79,2068.0,28.34,26.11,-7.85,-0.07,0.230961923847695,-0.03,-0.13,790.86,0.34,1143.58,311.49,0.24,0.87,214.66,1.26,-1.3,-5.1,-1.9538977955912005,12.28,65.38,50.24,9.3883466933868,56.19058116232465,69.26,5.2352104208416845,59.08,-0.0385270541082162,40.92,-97.07,43.8,1.2,1.82,-0.28,14.19,-0.28,-0.98,-0.94,84.76,-1.2,-1.65,-1.65,-0.47,-0.28,14.47,4.04,65.38,88229.0,12518.0,-833.0,36608.162324649296,-35.0,-868.0,-1055.0,-11544.0,948.0,380653.0,267672.0,155755.0,147030.0,187107.0,-0.91,88229.0,74779.0,-833.0,-868.0,186.0,-1055.0,-0.03,64403.0,72702.0,91256.0,267672.0,380653.0,147030.0,8725.0,155755.0,224897.0,62322.0,-11544.0,5805.0,6687.0,948.0,63270.0,267672.0,112980.0,380653.0,147030.0,8725.0,155755.0,224897.0,380653.0,0
300477,25.0,107201.8687,60874.0,1.76,1785.0,23.92,20.39,0.23,0.08125250501002,0.04,0.0203406813627254,0.0580460921843687,394.85,0.68,705.14,116.48,0.38,2.32,137.59,1.96,20.85,29.18,106.27,25.88,98.93,87.88,13.74,75.8,101.7,7.9,49.58,0.52,50.42,513.79,43.99,1.09,1.37,2.46,26.64,2.66,10.48,9.12,72.77,6.94,13.78,13.78,4.95,2.46,13.02,-29.01,98.93,212901.0,56707.0,19425.0,-5435.0,-154.0,19271.0,14768.0,579.0,43547.0,601556.0,339478.0,303317.0,247549.0,257635.0,4.42,212901.0,154936.0,19425.0,19271.0,4503.0,14768.0,0.1,108899.0,105854.0,69694.0,339478.0,601556.0,247549.0,55768.0,303317.0,298239.0,46730.0,579.0,-41490.0,84408.0,43547.0,90277.0,339478.0,262078.0,601556.0,247549.0,55768.0,303317.0,298239.0,601556.0,0
301138,20.0,12000.0,16055.0,0.75,675.0,12.59,11.41,-10.38,-0.1,-0.53,-0.02,-0.09,958.47,0.28,1071.0,352.53,0.25,0.77,70.05,3.85,84.46,168.29,-17.16,-5.85,27.97,15.47,9.3883466933868,56.19058116232465,30.01,5.2352104208416845,76.92,-0.0385270541082162,23.08,-871.35,249.6,3.04,4.1,4.18,37.75,4.18,25.99,20.08,61.47,16.57,49.77,49.77,5.44,4.18,15.01,7.88,27.97,36046.0,13608.0,7238.0,571.0,-1.0,7238.0,5972.0,-3189.0,-14479.0,142782.0,125791.0,32956.0,30716.0,108663.0,5.16,36046.0,22157.0,7238.0,7238.0,1265.0,5972.0,0.48,76668.0,9764.0,32355.0,125791.0,142782.0,30716.0,2240.0,32956.0,109826.0,88976.0,-3189.0,-3674.0,-7985.0,-14479.0,74497.0,125791.0,16991.0,142782.0,30716.0,2240.0,32956.0,109826.0,142782.0,0
601568,15.721442885771545,397222.2224,77387.0,5.13,4034.0,22.06,8.68,76.05,0.73,1.58,0.13,0.22,248.41,1.09,451.88,19.87,0.6,13.59,2.34,115.18,-0.45,3.39,-9.28,4.52,21.11,54.75,9.3883466933868,56.19058116232465,21.94,5.2352104208416845,82.01,-0.0385270541082162,17.99,-901.35,253.46,2.98,3.18,8.33,21.32,8.27,19.84,16.26,77.97,13.84,34.74,34.74,10.15,8.33,3.92,0.91,21.11,996678.0,212460.0,162052.0,177.0,1306.0,163358.0,137977.0,218094.0,86219.0,1656853.0,912924.0,298135.0,286796.0,1358718.0,10.15,996678.0,777133.0,162052.0,163358.0,25381.0,137977.0,0.35,726922.0,10825.0,57762.0,912924.0,1656853.0,286796.0,11339.0,298135.0,1358718.0,634302.0,218094.0,-6474.0,-125380.0,86219.0,720520.0,912924.0,743929.0,1656853.0,286796.0,11339.0,298135.0,1358718.0,1656853.0,0
688737,17.0,8603.4976,9484.0,0.91,540.0,40.93,30.93,-60.19,-0.44,0.230961923847695,-0.05,-0.33,1583.58,0.17,1924.45,191.12,0.14,1.41,341.64,0.79,95.08,222.97,-333.53,-58.01,10.1,23.64,1.04,23.39,12.36,0.93,89.0,0.01,11.0,1074.58,265.83,8.27,9.81,-2.51,5.54,-2.42,-20.45,-23.23,94.17,-17.27,-62.34,-62.34,-2.82,-2.51,14.17,-4.56,10.1,31059.0,1721.0,-7216.0,36608.162324649296,315.0,-6901.0,-5364.0,-10372.0,-40596.0,214064.0,169029.0,23548.0,17234.0,189901.0,-2.72,31059.0,29249.0,-7216.0,-6901.0,-1538.0,-5364.0,-0.61,45813.0,29663.0,26439.0,169029.0,214064.0,17234.0,6314.0,23548.0,190516.0,84809.0,-10372.0,-17319.0,-12904.0,-40596.0,44212.0,169029.0,45035.0,214064.0,17234.0,6314.0,23548.0,190516.0,214064.0,0
2471,26.0,126800.0,106814.0,1.19,2115.0,21.65,9.74,5.12,0.05,0.230961923847695,0.04,0.05,292.84,0.92,374.22,46.79,0.72,5.77,185.1,1.46,-2.56,-4.57,-1.9538977955912005,0.49,306.04,89.11,9.3883466933868,56.19058116232465,328.7,5.2352104208416845,23.33,-0.0385270541082162,76.67,61.83,17.77,0.93,1.11,-0.52,10.1,-0.53,-0.78,-0.75,89.62,-0.73,-2.43,-2.43,-2.21,-0.52,6.88,-35.67,306.04,420456.0,42474.0,-3168.0,1141.0,-8.0,-3177.0,-3076.0,21765.0,2077.0,595512.0,471736.0,456602.0,425122.0,135334.0,-2.21,420456.0,376814.0,-3168.0,-3177.0,-100.0,-3076.0,-0.02,75559.0,283092.0,75022.0,471736.0,595512.0,425122.0,31479.0,456602.0,138911.0,2500.0,21765.0,7166.0,-26862.0,2077.0,4577.0,471736.0,123777.0,595512.0,425122.0,31479.0,456602.0,138911.0,595512.0,0
831,24.0,98088.8981,213372.0,0.46,344.0,17.73,14.24,169.28,1.66,1.91,0.2,0.22,272.31,0.99,314.14,233.99,0.86,1.15,4.45,60.63,-29.6,13.18,79.71,58.21,13.66,16.12,9.3883466933868,56.19058116232465,13.96,5.2352104208416845,87.75,-0.0385270541082162,12.25,2504.7,86.55,2.17,7.16,10.63,18.43,10.08,18.39,15.34,81.45,11.73,37.89,37.89,12.11,10.63,2.1,-0.82,13.66,316875.0,58413.0,48616.0,-532.0,134.0,48750.0,37170.0,70951.0,15106.0,349673.0,300215.0,42823.0,41914.0,297098.0,13.21,316875.0,258084.0,48616.0,48750.0,11580.0,37170.0,0.38,36276.0,8790.0,209214.0,300215.0,349673.0,41914.0,909.0,42823.0,306850.0,21170.0,70951.0,-1242.0,-54603.0,15106.0,36276.0,300215.0,49458.0,349673.0,41914.0,909.0,42823.0,306850.0,349673.0,0
1259,24.0,7358.8888,14389.0,0.51,656.0,10.37,6.25,-16.01,-0.15,-0.57,-0.03,-0.05,390.4,0.69,424.8,125.52,0.64,2.15,40.34,6.69,13.721643286573164,14.095711422845708,16.48,6.18,19.82,7.75,9.3883466933868,56.19058116232465,20.77,5.2352104208416845,82.8,-0.0385270541082162,17.2,-1821.88,374.57,4.68,5.7,4.64,29.82,5.61,12.61,10.66,69.64,8.83,55.65,55.65,5.61,4.64,18.1,4.24,19.82,46358.0,13822.0,4942.0,36608.162324649296,219.0,5161.0,4095.0,-2318.0,33123.0,88171.0,82513.0,15167.0,14472.0,72931.0,9.82,46358.0,32284.0,4942.0,5161.0,1066.0,4095.0,0.72,54209.0,8452.0,14847.0,82513.0,88171.0,14472.0,694.0,15167.0,73004.0,21040.0,-2318.0,-203.0,35643.0,33123.0,54163.0,82513.0,5658.0,88171.0,14472.0,694.0,15167.0,73004.0,88171.0,0
600306,23.0,23157.4918,5078.0,4.56,346.0,27.17,13.29,-4.08,-0.02,0.230961923847695,-0.02,-0.27,359.42,0.75,4347.83,121.39,0.06,2.22,4.19,64.42,-1.83,14.095711422845708,-1.9538977955912005,-19.51,-8467.54,-8180.35,102.11,172.67,-8715.65,56.15,-1.16,-1.51,101.16,8.16,5.12,0.1,0.12,-4.62,40.34,-4.45,-42.6,-71.05,39.42,-71.69,-27.17,-27.17,3.0487274549098173,-4.62,107.22,0.06,-8467.54,8775.0,3540.0,-6235.0,36608.162324649296,-4.0,-6238.0,-6291.0,-2344.0,-8934.0,136244.0,6884.0,137825.0,57402.0,-1661.0,3.8155110220440864,8775.0,3459.0,-6235.0,-6238.0,53.0,-6291.0,-0.27,2937.0,52.0,1248.0,6884.0,136244.0,57402.0,80423.0,137825.0,-1581.0,10734.0,-2344.0,3.0,-6593.0,-8934.0,1799.0,6884.0,129360.0,136244.0,57402.0,80423.0,137825.0,-1581.0,136244.0,0
832278,15.721442885771545,223671.27404879767,62520.625250501005,3.5829859719438897,7908.225450901804,29.593186372745528,17.95701402805609,11.586182364729444,0.08125250501002,0.230961923847695,0.0203406813627254,0.0580460921843687,2031.81881763527,1.1027555110220435,1146.032014028056,594.7469438877763,0.4383366733466931,14.685521042084188,400.7832565130258,70.13774549098191,13.721643286573164,14.095711422845708,-1.9538977955912005,9.490280561122235,100.4278256513026,116.58600200400792,9.3883466933868,56.19058116232465,139.78413827655314,5.2352104208416845,48.9543887775551,-0.0385270541082162,45.03359719438875,2020.899228456915,76.96322645290579,1.6853006012024072,2.1168837675350693,2.3822344689378734,16.67510020040082,2.569458917835669,13.878817635270536,-16.678326653306637,71.90976953907814,-17.965040080160335,40.8807114228457,40.8807114228457,3.0487274549098173,2.3822344689378734,33.764519038076145,22.503106212424832,100.4278256513026,1706238.4018036071,285439.8496993988,178187.37174348696,36608.162324649296,-1085.2114228456917,177102.15230460922,145330.43286573148,183691.03306613225,-30509.44789579158,10179602.392785572,1529407.2054108216,8266576.316633266,1223401.7234468935,1702957.2254509018,3.8155110220440864,1500888.8727454909,1243527.738476954,178187.37174348696,177102.15230460922,31771.69539078156,145330.43286573148,0.3878256513026057,951805.0420841684,225556.80260521045,486540.44388777553,1529407.2054108216,10179602.392785572,1223401.7234468935,532675.6533066132,8266576.316633266,1913026.0861723449,799123.5851703407,183691.03306613225,-165845.9368737475,-65393.79358717435,-30509.44789579158,768614.1573146293,1529407.2054108216,1442161.3056112223,10179602.392785572,1223401.7234468935,532675.6533066132,8266576.316633266,1913026.0861723449,10179602.392785572,1
2134,34.0,24584.9768,20992.0,1.17,844.0,11.02,5.69,15.77,0.15,2.52,0.06,0.1,265.93,1.02,471.53,61.35,0.57,4.4,105.32,2.56,-1.52,6.48,-4.75,-15.77,62.44,81.04,0.56,80.59,64.45,0.34,60.81,0.03,39.19,1524.62,43.6,1.08,1.35,2.35,14.86,2.26,4.25,3.94,84.8,3.95,6.97,6.97,3.87,2.35,7.87,10.17,62.44,43424.0,6454.0,1711.0,171.0,4.0,1715.0,1713.0,4326.0,-2804.0,72877.0,36962.0,28560.0,27423.0,44317.0,3.94,43424.0,36823.0,1711.0,1715.0,2.0,1713.0,0.07,11957.0,14699.0,7396.0,36962.0,72877.0,27423.0,1137.0,28560.0,44317.0,12336.0,4326.0,-7489.0,249.0,-2804.0,9531.0,36962.0,35915.0,72877.0,27423.0,1137.0,28560.0,44317.0,72877.0,0
2767,31.0,15000.0,12378.0,1.21,585.0,27.18,37.44,-21.17,-0.21,-2.57,-0.06,-0.17,551.81,0.49,754.61,150.6,0.36,1.79,229.71,1.18,8.75,4.49,77.87,21.25,37.5,35.09,9.3883466933868,56.19058116232465,37.71,5.2352104208416845,72.62,-0.0385270541082162,27.38,-12352.89,5.74,2.16,2.74,2.24,31.53,2.33,7.28,6.57,67.66,6.51,16.46,16.46,3.09,2.24,21.89,27.39,37.5,37912.0,11954.0,2492.0,683.0,-1085.2114228456917,2492.0,2468.0,-6340.0,-542.0,109966.0,81944.0,30114.0,29941.0,79177.0,2.99,37912.0,25653.0,2492.0,2492.0,24.0,2468.0,0.16,1720.0,37480.0,17205.0,81944.0,109966.0,29941.0,173.0,30114.0,79852.0,1671.0,-6340.0,5874.0,-105.0,-542.0,1130.0,81944.0,28022.0,109966.0,29941.0,173.0,30114.0,79852.0,109966.0,0
544,15.721442885771545,97468.4488,38074.0,2.56,1757.0,59.76,24.42,-42.59,-0.12,-4.51,-0.08,-0.48,285.77,0.94,1473.8,6.96,0.18,38.79,53.52,5.04,28.32,5.25,-7.8,14.38,201.17,263.23,58.0,110.56,233.05,41.46,30.03,20.48,69.97,246.14,60.93,1.08,1.11,1.79,24.28,1.93,14.24,12.36,75.05,10.56,45.92,45.92,5.96,1.79,10.63,-0.46,201.17,423951.0,102923.0,52400.0,26.0,-264.0,52136.0,44754.0,-201668.0,31317.0,2499875.0,524091.0,1749277.0,473487.0,666634.0,6.19,423951.0,318157.0,52400.0,52136.0,7382.0,44754.0,0.42,288487.0,101479.0,11206.0,524091.0,2499875.0,473487.0,1275790.0,1749277.0,750598.0,256573.0,-201668.0,-13309.0,246294.0,31317.0,287890.0,524091.0,1975784.0,2499875.0,473487.0,1275790.0,1749277.0,750598.0,2499875.0,0
871981,15.721442885771545,223671.27404879767,62520.625250501005,3.5829859719438897,7908.225450901804,29.593186372745528,17.95701402805609,11.586182364729444,0.08125250501002,0.230961923847695,0.0203406813627254,0.0580460921843687,2031.81881763527,1.1027555110220435,1146.032014028056,594.7469438877763,0.4383366733466931,14.685521042084188,400.7832565130258,70.13774549098191,13.721643286573164,14.095711422845708,-1.9538977955912005,9.490280561122235,100.4278256513026,116.58600200400792,9.3883466933868,56.19058116232465,139.78413827655314,5.2352104208416845,48.9543887775551,-0.0385270541082162,45.03359719438875,2020.899228456915,76.96322645290579,1.6853006012024072,2.1168837675350693,2.3822344689378734,16.67510020040082,2.569458917835669,13.878817635270536,-16.678326653306637,71.90976953907814,-17.965040080160335,40.8807114228457,40.8807114228457,3.0487274549098173,2.3822344689378734,33.764519038076145,22.503106212424832,100.4278256513026,1706238.4018036071,285439.8496993988,178187.37174348696,36608.162324649296,-1085.2114228456917,177102.15230460922,145330.43286573148,183691.03306613225,-30509.44789579158,10179602.392785572,1529407.2054108216,8266576.316633266,1223401.7234468935,1702957.2254509018,3.8155110220440864,1500888.8727454909,1243527.738476954,178187.37174348696,177102.15230460922,31771.69539078156,145330.43286573148,0.3878256513026057,951805.0420841684,225556.80260521045,486540.44388777553,1529407.2054108216,10179602.392785572,1223401.7234468935,532675.6533066132,8266576.316633266,1913026.0861723449,799123.5851703407,183691.03306613225,-165845.9368737475,-65393.79358717435,-30509.44789579158,768614.1573146293,1529407.2054108216,1442161.3056112223,10179602.392785572,1223401.7234468935,532675.6533066132,8266576.316633266,1913026.0861723449,10179602.392785572,1
688,44.0,111764.6186,17824.0,6.38,1259.0,15.01,9.85,36.75,0.15,3.76,0.07,0.31,82.0,3.29,1081.73,15.85,0.25,17.03,7.15,37.75,19.68,4.57,-18.16,90.15,63.14,186.32,18.66,151.55,101.82,11.37,49.55,-0.93,50.45,869.08,20.5,0.33,0.39,1.95,25.56,2.08,13.06,12.61,69.64,8.35,10.78,10.78,3.93,1.95,13.49,-4.68,63.14,146842.0,37538.0,18516.0,859.0,-1648.0,16868.0,12264.0,46105.0,7864.0,629990.0,48379.0,317838.0,125466.0,275499.0,5.93,146842.0,102259.0,18516.0,16868.0,4604.0,12264.0,0.14,25716.0,2907.0,6783.0,48379.0,629990.0,125466.0,192373.0,317838.0,312152.0,17852.0,46105.0,-83365.0,45123.0,7864.0,25716.0,48379.0,581612.0,629990.0,125466.0,192373.0,317838.0,312152.0,629990.0,0
2506,19.0,585031.6427,241229.0,2.43,1568.0,33.67,8.42,-0.9,-0.01,0.230961923847695,-0.01,-0.01,328.71,0.82,542.93,86.17,0.5,3.13,36.05,7.49,-9.4,-43.09,-1.9538977955912005,50.07,302.6,166.51,9.3883466933868,56.19058116232465,339.77,5.2352104208416845,22.74,-0.0385270541082162,77.26,56.56,28.55,0.62,0.9,-0.98,5.97,-1.01,-1.34,-1.28,93.68,-2.02,-1.65,-1.65,-4.29,-0.98,11.53,89.79,302.6,476703.0,28447.0,-6098.0,-5411.0,-635.0,-6734.0,-9637.0,-6112.0,-19313.0,987219.0,613436.0,762734.0,679291.0,214790.0,-4.4,476703.0,446562.0,-6098.0,-6734.0,2903.0,-9637.0,-0.02,193915.0,54384.0,191643.0,613436.0,987219.0,679291.0,83443.0,762734.0,224485.0,109800.0,-6112.0,-31869.0,20085.0,-19313.0,90487.0,613436.0,373782.0,987219.0,679291.0,83443.0,762734.0,224485.0,987219.0,0
2418,20.0,113640.0,50512.0,2.25,3295.0,4.4,6.71,6.69,0.06,65.08,0.03,0.05,211.78,1.27,368.6,46.07,0.73,5.86,90.4,2.99,16.58,3.65,-87.5,24.56,100.98,80.9,1.71,79.52,110.22,0.83,47.57,0.06,52.43,133.36,39.08,1.05,1.3,0.05,7.42,0.05,0.43,0.59,92.24,0.07,0.13,0.13,0.1,0.05,7.43,-34.79,100.98,213366.0,15825.0,1262.0,16.0,-338.0,924.0,153.0,9978.0,24000.0,315729.0,194221.0,165536.0,149062.0,150864.0,0.13,213366.0,196803.0,1262.0,924.0,771.0,153.0,0.3878256513026057,58258.0,64139.0,37444.0,194221.0,315729.0,149062.0,16474.0,165536.0,150192.0,8509.0,9978.0,-2030.0,15901.0,24000.0,32508.0,194221.0,121508.0,315729.0,149062.0,16474.0,165536.0,150192.0,315729.0,0
